Group,Ind,P1,P2,P3
7,CB0610,0.0936057,0.261569,0.644825
7,CB0611,0.0741766,0.36798,0.557843
7,CB0612,0.0222481,0.537692,0.440059
7,CB0613,0.0868597,0.287191,0.625949
7,CB0614,0.0300934,0.509802,0.460104
7,CB0615,1.00E-04,0.626776,0.373124
7,CB0616,0.0208155,0.527895,0.45129
7,CB0617,0.0835798,0.281242,0.635179
7,CB0618,0.0832585,0.306104,0.610637
7,CB0620,0.102564,0.263367,0.634069
7,CB0621,1.00E-04,0.62623,0.37367
7,CB0622,1.00E-04,0.620476,0.379424
7,CB0623,0.0168315,0.558147,0.425022
7,CB0625,0.0676076,0.367148,0.565244
7,CB0626,0.0578264,0.462338,0.479835
7,CB0627,0.0765185,0.334757,0.588724
8,CB0633,0.0803194,0.159338,0.760343
8,CB0634,0.115383,0.168819,0.715798
8,CB0635,1.00E-04,0.0943667,0.905533
8,CB0636,0.0309228,0.10889,0.860187
8,CB0637,0.112557,0.172306,0.715137
8,CB0638,1.00E-04,0.0407589,0.959141
8,CB0639,0.00255331,0.0457988,0.951648
8,CB0640,0.0860923,0.148849,0.765059
8,CB0641,0.038399,0.119097,0.842504
8,CB0642,0.103618,0.173329,0.723053
8,CB0643,1.00E-04,0.0765967,0.923303
8,CB0644,0.0377717,0.0872132,0.875015
8,CB0645,0.0838507,0.149071,0.767078
8,CB0646,0.114119,0.184912,0.700969
8,CB0647,0.0894042,0.176535,0.734061
8,CB0648,1.00E-04,0.0517806,0.948119
8,CB0649,0.0899734,0.161509,0.748517
8,CB0650,0.0893393,0.168354,0.742307
8,CB0651,1.00E-04,0.0196114,0.980289
8,CB0652,0.0202905,0.0616039,0.918106
8,CB0653,0.0747958,0.147919,0.777285
8,CB0654,0.0356461,0.0752901,0.889064
8,CB0655,0.101569,0.201358,0.697073
8,CB0656,0.108634,0.190474,0.700893
8,CB0659,0.00333141,0.0774301,0.919238
8,CB0660,0.104968,0.204782,0.690249
8,CB0662,0.077896,0.139987,0.782117
9,CB0663,0.0133057,1.00E-04,0.986594
9,CB0664,0.0365642,0.105276,0.85816
9,CB0665,0.0303984,0.00503413,0.964567
9,CB0667,0.0343585,0.0328189,0.932823
9,CB0668,0.100035,0.17172,0.728245
9,CB0670,0.0599482,0.118479,0.821573
9,CB0671,0.0768644,0.119348,0.803788
9,CB0672,0.116009,0.187174,0.696817
9,CB0673,0.099887,0.131353,0.76876
9,CB0674,0.0825794,0.15493,0.76249
9,CB0676,0.00801585,0.0344066,0.957578
9,CB0677,0.0686801,0.12471,0.80661
9,CB0678,0.0173181,1.00E-04,0.982582
9,CB0679,0.0792975,0.115492,0.80521
9,CB0680,0.0298849,1.00E-04,0.970015
9,CB0681,0.0512305,0.0789766,0.869793
9,CB0682,0.0292211,0.0481983,0.922581
9,CB0683,0.0862251,0.145042,0.768733
9,CB0684,0.0666507,0.0914156,0.841934
9,CB0685,0.0186814,0.0561821,0.925137
9,CB0686,0.0885152,0.132886,0.778598
9,CB0687,0.10008,0.178957,0.720963
9,CB0688,0.0310323,0.0424767,0.926491
9,CB0689,0.0760418,0.135613,0.788345
9,CB0690,0.0445423,0.0236812,0.931777
